Epoch,Loss train,Loss val,Deviation train,Deviation val
0,0.018287245304353775,0.01321709156036377,0.566904604434967,0.40972983837127686
1,0.012055639297731461,0.02577741107633037,0.3737248182296753,0.7990997433662415
2,0.0265933217540864,0.00888984626339328,0.8243929743766785,0.27558523416519165
3,0.00846830875642838,0.010014152334582421,0.2625175714492798,0.31043872237205505
4,0.008842498064041138,0.012432954003733973,0.27411743998527527,0.3854215741157532
5,0.011192454445746637,0.012429514238911291,0.34696608781814575,0.38531494140625
6,0.011148233567514727,0.010759210394274804,0.34559524059295654,0.3335355222225189
7,0.009470964631726664,0.008066056236144035,0.2935999035835266,0.2500477433204651
8,0.007232733791874301,0.008136835790449572,0.22421474754810333,0.25224190950393677
9,0.007528975605964661,0.009314802385145617,0.23339824378490448,0.28875887393951416
10,0.008797863798756753,0.008766589626189201,0.27273377776145935,0.27176427841186523
